case_id,stratify,ratio,seed,n_train,n_val,n_test,drift_share_val,drift_share_test,n_drifted_val,n_drifted_test,n_total_cols
nostrat_60-20-20_seed42,False,60-20-20,42,534,178,179,0.0,0.0,0,0,8
nostrat_60-20-20_seed7,False,60-20-20,7,534,178,179,0.125,0.0,1,0,8
nostrat_90-05-05_seed42,False,90-05-05,42,801,45,45,0.125,0.0,1,0,8
nostrat_90-05-05_seed7,False,90-05-05,7,801,45,45,0.0,0.0,0,0,8
nostrat_98-01-01_seed42,False,98-01-01,42,873,9,9,0.0,0.0,0,0,8
nostrat_98-01-01_seed7,False,98-01-01,7,873,9,9,0.125,0.125,1,1,8
strat_60-20-20_seed42,True,60-20-20,42,534,178,179,0.0,0.0,0,0,8
strat_60-20-20_seed7,True,60-20-20,7,534,178,179,0.0,0.125,0,1,8
strat_90-05-05_seed42,True,90-05-05,42,801,45,45,0.0,0.0,0,0,8
strat_90-05-05_seed7,True,90-05-05,7,801,45,45,0.0,0.0,0,0,8
strat_98-01-01_seed42,True,98-01-01,42,873,9,9,0.0,0.0,0,0,8
strat_98-01-01_seed7,True,98-01-01,7,873,9,9,0.0,0.0,0,0,8
